,title,n_enrolled,level,language,rating,price,sales
148,Upper-Intermediate English: Business and Globalization,58532.0,Intermediate,English,2,50.0,2926600.0
149,The Opioid Crisis in America,54805.0,Introductory,English,2,99.0,5425695.0
151,Statistical Learning,27968.0,Introductory,English,1,50.0,1398400.0
152,Introduction to Social Psychology,79365.0,Introductory,English,3,99.0,7857135.0
154,American Government: Constitutional Foundations,35504.0,Introductory,English,1,49.0,1739696.0
155,Introducción a la inversión bursátil,64261.0,Introductory,Español,2,50.0,3213050.0
156,Japanese Books: From Manuscript to Print,17581.0,Introductory,English,1,100.0,1758100.0
157,Foundations of Modern Finance  I,24108.0,Advanced,English,1,450.0,10848600.0
158,Operations Management,126093.0,Intermediate,English,4,150.0,18913950.0
159,Marketing Management,80010.0,Intermediate,English,3,150.0,12001500.0
160,Marketing enfocado en la estrategia de servicios,24618.0,Introductory,Español,1,119.0,2929542.0
161,Introduction to Marketing,169126.0,Introductory,English,5,150.0,25368900.0
163,Probability and Statistics in Data Science using Python,106286.0,Advanced,English,3,350.0,37200100.0
167,"Algorithms: Design and Analysis, Part 1",20163.0,Intermediate,English,1,149.0,3004287.0
168,Introducción al Office 365,16470.0,Introductory,Español,1,75.0,1235250.0
170,Upper-Intermediate English: Business and Technology,47451.0,Intermediate,English,2,50.0,2372550.0
171,Shakespeare's Hamlet: The Ghost,38331.0,Introductory,English,2,49.0,1878219.0
172,FlashDiet: Aprende a comer sano,48105.0,Introductory,Español,2,50.0,2405250.0
174,Introduction to Aerospace Structures and Materials,37126.0,Introductory,English,2,50.0,1856300.0
175,Visualizing Data with Python,42101.0,Intermediate,English,2,39.0,1641939.0
176,Success: Practical Thinking Skills,24414.0,Introductory,English,1,50.0,1220700.0
177,English for Doing Business in Asia – Speaking,68422.0,Introductory,English,2,60.0,4105320.0
179,"Contemporary China: The People's Republic, Taiwan, and Hong Kong",66771.0,Introductory,English,2,139.0,9281169.0
180,Introduction to Clinical Psychology,57234.0,Introductory,English,2,99.0,5666166.0
181,Modern Masterpieces of World Literature,48049.0,Introductory,English,2,99.0,4756851.0
182,"Citizen Politics in America: Public Opinion, Elections, Interest Groups, and the Media",24259.0,Introductory,English,1,49.0,1188691.0
183,Applied Scrum for Agile Project Management,55293.0,Advanced,English,2,199.0,11003307.0
184,Corporate Finance,62798.0,Intermediate,English,2,150.0,9419700.0
185,Judaism Through Its Scriptures,50540.0,Introductory,English,2,99.0,5003460.0
186,Excel avanzado: importación y análisis de datos,47184.0,Advanced,Español,2,75.0,3538800.0
187,CSS Basics,95163.0,Introductory,English,3,199.0,18937437.0
188,Unlocking Information Security: Part I,19905.0,Intermediate,English,1,149.0,2965845.0
189,Becoming an Effective Leader,55937.0,Intermediate,English,2,99.0,5537763.0
190,Digital Branding and Engagement,122977.0,Intermediate,English,4,99.0,12174723.0
191,Introduction to Cybersecurity,73021.0,Introductory,English,3,199.0,14531179.0
192,General Academic English|生活英语进阶,17526.0,Introductory,English,1,49.0,858774.0
193,Gestión de personas: Recursos Humanos,19687.0,Introductory,Español,1,119.0,2342753.0
194,From Poverty to Prosperity: Understanding Economic Development,91062.0,Intermediate,English,3,149.0,13568238.0
195,Medical Terminology,31354.0,Introductory,English,1,79.0,2476966.0
196,Ancient Masterpieces of World Literature,48899.0,Introductory,English,2,99.0,4841001.0
197,Shakespeare's The Merchant of Venice: Shylock,23283.0,Introductory,English,1,49.0,1140867.0
198,Gestión del estrés y Mindfulness,15965.0,Introductory,Español,1,49.0,782285.0
199,Behavioural Economics in Action,66764.0,Introductory,English,2,139.0,9280196.0
200,Finance for Everyone: Smart Tools for Decision-Making,45029.0,Introductory,English,2,49.0,2206421.0
201,Creating Innovative Business Models,12227.0,Introductory,English,1,149.0,1821823.0
202,u.lab: Leading From the Emerging Future,79424.0,Introductory,English,3,99.0,7862976.0
203,Electric Cars: Introduction,56171.0,Intermediate,English,2,50.0,2808550.0
204,Inteligencia Artificial para todos: Domina los fundamentos,11764.0,Introductory,Español,1,49.0,576436.0
205,Marketing Analytics,55228.0,Advanced,English,2,249.0,13751772.0
207,Design Thinking Fundamentals,56446.0,Intermediate,English,2,299.0,16877354.0
208,Basic Spanish 3: Getting there,17569.0,Introductory,English,1,50.0,878450.0
209,Mi propia huerta orgánica,11346.0,Introductory,Español,1,29.0,329034.0
210,Sustainability in Architecture: An Interdisciplinary Introduction,31352.0,Intermediate,English,1,50.0,1567600.0
211,Gestión de riesgos en proyectos de desarrollo,47676.0,Intermediate,Español,2,25.0,1191900.0
212,Python Data Structures,36369.0,Introductory,English,1,49.0,1782081.0
213,The Science and Business of Biotechnology,17039.0,Intermediate,English,1,49.0,834911.0
214,Finance Essentials,63666.0,Introductory,English,2,79.0,5029614.0
215,Introduction to the Internet of Things (IoT),89421.0,Introductory,English,3,149.0,13323729.0
216,'Talk to me': Improving mental health and suicide prevention in young adults,11481.0,Introductory,English,1,139.0,1595859.0
217,Disaster Medicine Training,10937.0,Introductory,English,1,50.0,546850.0
218,Nutrition and Health: Human Microbiome,44079.0,Introductory,English,2,49.0,2159871.0
219,Customer Relationship Management,53085.0,Intermediate,English,2,50.0,2654250.0
220,Islam Through Its Scriptures,65430.0,Introductory,English,2,99.0,6477570.0
221,Mechatronics Revolution: Fundamentals and Core Concepts,11619.0,Introductory,English,1,149.0,1731231.0
222,Accounting for Decision-Making,57710.0,Intermediate,English,2,150.0,8656500.0
223,C Programming: Language Foundations,46400.0,Introductory,English,2,49.0,2273600.0
